Id,Label,timeset,modularity_class
1367,1367,,0
1368,1368,,2
1369,1369,,2
1370,1370,,1
1371,1371,,1
1372,1372,,1
1373,1373,,2
1374,1374,,1
1375,1375,,2
1376,1376,,4
1377,1377,,2
1378,1378,,2
1379,1379,,1
1380,1380,,1
1381,1381,,2
1382,1382,,1
1383,1383,,1
1384,1384,,1
1385,1385,,4
1386,1386,,1
1387,1387,,2
1388,1388,,1
1389,1389,,1
1390,1390,,1
1391,1391,,2
1392,1392,,2
1393,1393,,1
1394,1394,,1
1395,1395,,1
1396,1396,,2
1397,1397,,1
1398,1398,,2
1399,1399,,1
1400,1400,,2
1401,1401,,4
1402,1402,,1
1403,1403,,1
1404,1404,,4
1405,1405,,1
1406,1406,,4
1407,1407,,1
1408,1408,,2
1409,1409,,1
1410,1410,,1
1411,1411,,1
1412,1412,,1
1413,1413,,2
1414,1414,,2
1415,1415,,0
1416,1416,,1
1417,1417,,1
1418,1418,,2
1419,1419,,1
1420,1420,,1
1421,1421,,1
1422,1422,,4
1423,1423,,4
1424,1424,,1
1425,1425,,2
1426,1426,,2
1427,1427,,2
1428,1428,,1
1429,1429,,2
1430,1430,,2
1431,1431,,1
1432,1432,,0
1433,1433,,0
1434,1434,,1
1435,1435,,1
1436,1436,,1
1437,1437,,2
1438,1438,,1
1439,1439,,1
1440,1440,,1
1441,1441,,1
1442,1442,,1
1443,1443,,2
1444,1444,,1
1445,1445,,1
1446,1446,,1
1447,1447,,1
1448,1448,,1
1449,1449,,1
1450,1450,,1
1451,1451,,2
1452,1452,,1
1453,1453,,2
1454,1454,,1
1455,1455,,1
1456,1456,,1
1457,1457,,1
1458,1458,,2
1459,1459,,1
1460,1460,,1
1461,1461,,1
1462,1462,,1
1463,1463,,1
1464,1464,,2
1465,1465,,2
1466,1466,,1
1467,1467,,1
1468,1468,,2
1469,1469,,1
1470,1470,,1
1471,1471,,1
1472,1472,,1
1473,1473,,1
1474,1474,,1
1475,1475,,1
1476,1476,,1
1477,1477,,1
1478,1478,,2
1479,1479,,2
1480,1480,,4
1481,1481,,1
1482,1482,,1
1483,1483,,1
1484,1484,,2
1485,1485,,1
1486,1486,,1
1487,1487,,1
1488,1488,,1
1489,1489,,2
1490,1490,,1
1491,1491,,1
1492,1492,,1
1493,1493,,4
1494,1494,,1
1495,1495,,2
1496,1496,,1
1497,1497,,1
1498,1498,,2
1499,1499,,1
1500,1500,,1
1501,1501,,1
1502,1502,,1
1503,1503,,1
1504,1504,,1
1505,1505,,1
1506,1506,,1
1507,1507,,1
1508,1508,,1
1509,1509,,2
1510,1510,,1
1511,1511,,1
1512,1512,,2
1513,1513,,1
1514,1514,,2
1515,1515,,2
1516,1516,,2
1517,1517,,1
1518,1518,,1
1519,1519,,2
1520,1520,,2
1521,1521,,2
1522,1522,,4
1523,1523,,4
1524,1524,,1
1525,1525,,4
1526,1526,,4
1527,1527,,1
1528,1528,,0
1529,1529,,1
1530,1530,,2
1531,1531,,2
1532,1532,,1
1533,1533,,1
1534,1534,,2
1535,1535,,1
1536,1536,,4
1537,1537,,2
1538,1538,,2
1539,1539,,2
1540,1540,,4
1541,1541,,2
1542,1542,,2
1543,1543,,1
1544,1544,,1
1545,1545,,1
1546,1546,,1
1547,1547,,1
1548,1548,,1
1549,1549,,4
1550,1550,,1
1551,1551,,1
